"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-11-2026","Instagram","veintreatmentclinic","26,537","42","47","8","1","28","354,618","2,909","69","0.02%","38","2","8","","21","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","8","11","0","0","","","","","7","9",""
"01-12-2026","Instagram","veintreatmentclinic","26,571","34","43","6","1","22","352,032","2,737","45","0.01%","23","1","7","","14","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","7","10","0","0","","","","","5","5",""
"01-13-2026","Instagram","veintreatmentclinic","26,620","49","70","8","1","31","769,612","3,206","59","0.01%","30","4","12","","13","","","","","","","","","","","","0","1","0","3","2","","","","","","","","","","","","","","","","","","","","","7","14","0","0","","","","","2","9",""
"01-14-2026","Instagram","veintreatmentclinic","26,672","52","52","62","0","32","767,400","2,053","31","0%","13","3","9","","6","","","","","","","","","","","","0","0","0","13","23","","","","","","","","","","","","","","","","","","","","","6","11","0","0","","","","","26","14",""
"01-15-2026","Instagram","veintreatmentclinic","26,706","34","34","15","0","16","599,022","1,486","20","0%","7","0","6","","7","","","","","","","","","","","","0","0","0","1","4","","","","","","","","","","","","","","","","","","","","","2","4","0","1","","","","","10","9",""
"01-16-2026","Instagram","veintreatmentclinic","26,711","5","39","12","1","28","695,349","1,958","75","0.01%","42","1","9","","23","","","","","","","","","","","","0","0","1","1","1","","","","","","","","","","","","","","","","","","","","","4","14","0","0","","","","","9","9",""
"01-17-2026","Instagram","veintreatmentclinic","26,771","60","60","5","0","30","869,192","1,500","41","0%","24","1","8","","8","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","6","16","0","0","","","","","5","8",""
"01-18-2026","Instagram","veintreatmentclinic","26,817","46","62","9","0","32","773,374","1,095","14","0%","1","1","0","","12","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","4","14","0","0","","","","","9","14",""
"01-19-2026","Instagram","veintreatmentclinic","26,881","64","86","26","2","31","678,394","1,569","40","0.01%","13","1","7","","19","","","","","","","","","","","","0","0","2","5","7","","","","","","","","","","","","","","","","","","","","","3","21","0","0","","","","","12","6",""
"01-20-2026","Instagram","veintreatmentclinic","26,955","74","75","50","0","23","609,606","3,106","63","0.01%","38","1","10","","14","","","","","","","","","","","","0","0","0","2","17","","","","","","","","","","","","","","","","","","","","","2","11","0","0","","","","","31","10",""
"01-21-2026","Instagram","veintreatmentclinic","27,023","68","76","15","1","29","893,112","1,235","23","0%","8","1","2","","12","","","","","","","","","","","","0","0","1","0","4","","","","","","","","","","","","","","","","","","","","","2","13","0","0","","","","","10","13",""
"01-22-2026","Instagram","veintreatmentclinic","27,086","63","63","17","0","17","788,542","2,198","21","0%","10","0","3","","8","","","","","","","","","","","","0","0","0","3","9","","","","","","","","","","","","","","","","","","","","","4","11","0","0","","","","","5","2",""
"01-23-2026","Instagram","veintreatmentclinic","27,133","47","58","14","1","26","703,009","1,579","23","0%","4","0","11","","8","","","","","","","","","","","","0","0","1","1","3","","","","","","","","","","","","","","","","","","","","","4","14","0","0","","","","","9","8",""
"01-24-2026","Instagram","veintreatmentclinic","27,185","52","55","4","1","21","734,795","2,006","34","0%","18","3","7","","6","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","3","16","0","0","","","","","3","2",""
"01-25-2026","Instagram","veintreatmentclinic","27,239","54","66","9","1","28","741,482","1,903","27","0%","15","0","2","","10","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","5","15","0","0","","","","","8","8",""
"01-26-2026","Instagram","veintreatmentclinic","27,290","51","51","42","1","30","547,507","2,588","70","0.01%","31","4","13","","22","","","","","","","","","","","","0","0","1","5","18","","","","","","","","","","","","","","","","","","","","","5","14","0","0","","","","","18","11",""
"01-27-2026","Instagram","veintreatmentclinic","27,331","41","59","36","1","21","511,737","1,315","45","0.01%","19","4","15","","7","","","","","","","","","","","","0","0","1","3","16","","","","","","","","","","","","","","","","","","","","","1","15","0","1","","","","","16","4",""
"01-28-2026","Instagram","veintreatmentclinic","27,368","37","54","15","1","22","485,481","1,797","30","0.01%","22","0","4","","4","","","","","","","","","","","","0","0","1","0","6","","","","","","","","","","","","","","","","","","","","","2","9","0","0","","","","","8","11",""
"01-29-2026","Instagram","veintreatmentclinic","27,415","47","55","20","1","37","549,286","1,252","38","0.01%","26","2","1","","9","","","","","","","","","","","","0","0","1","1","8","","","","","","","","","","","","","","","","","","","","","7","17","0","0","","","","","10","13",""
"01-30-2026","Instagram","veintreatmentclinic","27,457","42","55","32","1","22","631,099","3,072","53","0.01%","26","7","6","","14","","","","","","","","","","","","0","0","1","3","7","","","","","","","","","","","","","","","","","","","","","2","12","0","0","","","","","21","8",""
"01-31-2026","Instagram","veintreatmentclinic","27,503","46","59","10","0","23","656,924","1,739","30","0%","19","1","7","","3","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","2","11","0","0","","","","","10","10",""
"02-01-2026","Instagram","veintreatmentclinic","27,557","54","65","3","0","28","656,439","1,529","35","0.01%","23","1","2","","9","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","7","17","0","0","","","","","3","4",""
"02-02-2026","Instagram","veintreatmentclinic","27,613","56","56","14","0","30","691,749","1,869","36","0.01%","7","2","12","","15","","","","","","","","","","","","0","0","0","2","2","","","","","","","","","","","","","","","","","","","","","3","16","0","0","","","","","10","11",""
"02-03-2026","Instagram","veintreatmentclinic","27,658","45","51","100","4","38","542,672","1,416","18","0%","5","1","0","","12","","","","","","","","","","","","0","4","0","7","27","","","","","","","","","","","","","","","","","","","","","2","13","1","0","","","","","62","14",""
"02-04-2026","Instagram","veintreatmentclinic","27,687","29","34","31","1","18","271,238","1,115","16","0.01%","5","0","4","","7","","","","","","","","","","","","0","0","1","3","16","","","","","","","","","","","","","","","","","","","","","2","10","0","0","","","","","11","6",""
"02-05-2026","Instagram","veintreatmentclinic","27,707","20","20","18","1","13","213,214","1,658","30","0.01%","18","4","3","","5","","","","","","","","","","","","0","0","1","2","5","","","","","","","","","","","","","","","","","","","","","4","6","0","0","","","","","10","3",""
"02-06-2026","Instagram","veintreatmentclinic","27,716","9","42","9","3","13","783,305","2,283","34","0%","22","0","2","","10","","","","","","","","","","","","0","0","3","0","2","","","","","","","","","","","","","","","","","","","","","2","5","0","0","","","","","4","5",""
"02-07-2026","Instagram","veintreatmentclinic","27,769","53","68","6","1","13","613,154","2,057","19","0%","4","1","7","","7","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","5","5","0","1","","","","","5","2",""
"02-08-2026","Instagram","veintreatmentclinic","27,827","58","58","13","1","30","569,764","2,933","62","0.01%","43","7","7","","5","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","8","8","0","0","","","","","12","14",""
"02-09-2026","Instagram","veintreatmentclinic","27,888","61","61","21","0","12","504,608","6,926","94","0.02%","54","6","13","","21","","","","","","","","","","","","0","0","0","4","8","","","","","","","","","","","","","","","","","","","","","3","6","0","0","","","","","9","3",""
"02-10-2026","Instagram","veintreatmentclinic","27,915","27","28","10","2","12","326,852","1,466","27","0.01%","11","0","4","","12","","","","","","","","","","","","0","0","2","0","1","","","","","","","","","","","","","","","","","","","","","1","6","0","0","","","","","7","5",""
"02-11-2026","Instagram","veintreatmentclinic","27,936","21","33","23","1","7","277,405","1,513","37","0.01%","26","0","4","","7","","","","","","","","","","","","0","0","1","0","8","","","","","","","","","","","","","","","","","","","","","1","3","0","0","","","","","14","3",""
"02-12-2026","Instagram","veintreatmentclinic","27,954","18","29","8","1","9","322,939","1,320","26","0.01%","18","1","4","","3","","","","","","","","","","","","0","0","1","0","1","","","","","","","","","","","","","","","","","","","","","0","2","0","0","","","","","6","6",""
"02-13-2026","Instagram","veintreatmentclinic","27,984","30","38","9","2","15","356,712","1,415","34","0.01%","21","0","7","","4","","","","","","","","","","","","0","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0","2","0","0","","","","","6","12",""
"02-14-2026","Instagram","veintreatmentclinic","28,011","27","34","5","1","101","359,462","1,847","25","0.01%","15","0","3","","7","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","3","4","0","0","","","","","4","94",""
"02-15-2026","Instagram","veintreatmentclinic","28,031","20","39","7","2","164","428,067","1,483","23","0.01%","16","0","1","","6","","","","","","","","","","","","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","1","4","0","0","","","","","5","159",""
"02-16-2026","Instagram","veintreatmentclinic","28,070","39","49","19","1","27","380,159","2,085","40","0.01%","32","3","2","","3","","","","","","","","","","","","0","0","1","2","6","","","","","","","","","","","","","","","","","","","","","2","5","0","0","","","","","10","20",""
"02-17-2026","Instagram","veintreatmentclinic","28,099","29","45","15","1","11","412,271","2,764","64","0.02%","49","3","6","","6","","","","","","","","","","","","0","0","1","1","2","","","","","","","","","","","","","","","","","","","","","2","6","0","0","","","","","11","3",""
"02-18-2026","Instagram","veintreatmentclinic","28,142","43","44","20","1","15","373,111","1,623","25","0.01%","16","2","0","","7","","","","","","","","","","","","0","0","1","1","6","","","","","","","","","","","","","","","","","","","","","1","10","0","0","","","","","12","4",""
"02-19-2026","Instagram","veintreatmentclinic","28,175","33","41","3","0","8","344,823","1,259","24","0.01%","10","2","4","","8","","","","","","","","","","","","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","1","6","0","0","","","","","1","1",""
"02-20-2026","Instagram","veintreatmentclinic","28,203","28","53","14","5","16","323,276","732","18","0.01%","8","0","3","","6","","","","","","","","","","","","0","4","1","0","0","","","","","","","","","","","","","","","","","","","","","0","6","1","0","","","","","9","5",""
"02-21-2026","Instagram","veintreatmentclinic","28,238","35","74","6","1","17","576,372","903","17","0%","11","0","2","","4","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","2","12","0","0","","","","","5","3",""
"02-22-2026","Instagram","veintreatmentclinic","28,307","69","70","2","1","16","597,542","2,591","75","0.01%","46","2","12","","15","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","5","9","0","0","","","","","1","2",""
"02-23-2026","Instagram","veintreatmentclinic","28,368","61","71","12","1","14","566,263","3,441","60","0.01%","40","2","9","","9","","","","","","","","","","","","0","0","1","1","4","","","","","","","","","","","","","","","","","","","","","1","8","0","0","","","","","6","5",""
"02-24-2026","Instagram","veintreatmentclinic","28,422","54","54","25","3","19","470,497","1,940","56","0.01%","35","2","6","","13","","","","","","","","","","","","0","0","3","2","5","","","","","","","","","","","","","","","","","","","","","4","11","0","0","","","","","15","4",""
"02-25-2026","Instagram","veintreatmentclinic","28,475","53","53","28","2","26","336,105","3,718","87","0.03%","67","10","2","","8","","","","","","","","","","","","0","1","1","2","9","","","","","","","","","","","","","","","","","","","","","6","11","0","1","","","","","15","6",""
"02-26-2026","Instagram","veintreatmentclinic","","","","27","1","24","221,758","1,844","53","0.02%","37","1","6","","9","","","","","","","","","","","","0","0","1","1","11","","","","","","","","","","","","","","","","","","","","","8","13","0","0","","","","","14","3",""
"02-27-2026","Instagram","veintreatmentclinic","","","","16","1","13","","0","0","","0","0","0","","0","","","","","","","","","","","","0","0","1","1","8","","","","","","","","","","","","","","","","","","","","","0","10","0","0","","","","","6","3",""
